Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
3311887,AMP10059.jpg,Confirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,94.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000
3311884,AMP10060.jpg,Confirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,82.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,0.000
3311882,AMP10061.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,79.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,3.000
3311880,AMP10062.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.000,0.000,0.000,0.000,0.000,49.000,0.000,0.000,0.000,0.000,0.000
3311879,AMP10063.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,0.000,76.000,0.000,0.000,0.000,0.000,0.000
3311878,AMP10064.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000,0.000
3311876,AMP10065.jpg,Confirmed,100,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,36.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000,0.000
3311874,AMP10066.jpg,Confirmed,100,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,82.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000
3311870,AMP10067.jpg,Confirmed,100,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,68.000,0.000,0.000,0.000,0.000,0.000
3311868,AMP10068.jpg,Confirmed,100,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,88.000,0.000,0.000,0.000,0.000,0.000
3311867,AMP10069.jpg,Unconfirmed,100,0.000,0.000,0.000,41.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,0.000,0.000
3311865,AMP10070.jpg,Confirmed,100,0.000,0.000,0.000,36.000,0.000,0.000,0.000,0.000,7.000,1.000,0.000,0.000,0.000,56.000,0.000,0.000,0.000,0.000,0.000
3311864,AMP10071.jpg,Confirmed,100,0.000,0.000,0.000,39.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000
3311863,AMP10072.jpg,Unconfirmed,100,0.000,0.000,0.000,49.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,0.000
3311862,AMP10073.jpg,Unconfirmed,100,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,35.000,0.000,0.000,0.000,0.000,0.000
3311861,AMP10074.jpg,Unconfirmed,100,0.000,0.000,0.000,46.000,3.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,26.000,0.000,0.000,0.000,0.000,0.000
3311860,AMP10075.jpg,Unconfirmed,100,0.000,0.000,0.000,63.000,1.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,0.000
3311859,AMP10076.jpg,Unconfirmed,100,0.000,0.000,0.000,69.000,1.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,19.000,0.000,0.000,0.000,0.000,0.000
3311858,AMP10077.jpg,Confirmed,100,0.000,0.000,0.000,77.000,2.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000
3311857,AMP10078.jpg,Unconfirmed,100,0.000,0.000,0.000,78.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,7.000
3311856,AMP10079.jpg,Unconfirmed,100,0.000,0.000,0.000,4.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,91.000
3311855,AMP10080.jpg,Unconfirmed,100,0.000,0.000,0.000,90.000,4.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000
3311854,AMP10081.jpg,Unconfirmed,100,0.000,0.000,0.000,56.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,41.000,0.000,0.000,0.000,0.000,0.000
3311853,AMP10082.jpg,Confirmed,100,0.000,0.000,0.000,74.000,2.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000
3311852,AMP10083.jpg,Confirmed,100,0.000,0.000,0.000,63.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,0.000
3311851,AMP10084.jpg,Confirmed,100,0.000,0.000,0.000,43.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000
3311850,AMP10085.jpg,Confirmed,100,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,0.000,17.000
3311849,AMP10086.jpg,Confirmed,100,0.000,0.000,0.000,46.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,39.000,0.000,0.000,0.000,0.000,0.000
3311848,AMP10087.jpg,Confirmed,100,0.000,0.000,0.000,33.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,53.000,0.000,0.000,0.000,0.000,0.000
3311847,AMP10088.jpg,Confirmed,100,0.000,0.000,0.000,26.000,0.000,0.000,0.000,0.000,30.000,0.000,0.000,0.000,0.000,44.000,0.000,0.000,0.000,0.000,0.000
3311846,AMP10089.jpg,Confirmed,100,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000,3.000
3311845,AMP10090.jpg,Confirmed,100,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,76.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,0.000
3311844,AMP10091.jpg,Unconfirmed,100,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000
3311842,AMP10092.jpg,Unconfirmed,100,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,0.000,49.000,0.000,0.000,0.000,0.000,0.000
